primary_name,dba_name,prem_addr_1,prem_addr_2,prem_city,prem_state,prem_zip,yelp_link,yelp_name,yelp_phone,yelp_website
LAS CASUELAS NUEVAS INC,LAS CASUELAS NUEVAS,70050 HIGHWAY 111,,RANCHO MIRAGE,CA,92270-2924,https://www.yelp.nl/biz/las-casuelas-nuevas-rancho-mirage?osq=LAS+CASUELAS+NUEVAS,Las Casuelas Nuevas,(760) 328-8844,https://lascasuelasnuevas.com
LOBUE  LAWRENCE M,SANTA TERESA GOLF CLUB,260 BERNAL RD,,SAN JOSE,CA,95119,https://www.yelp.nl/biz/santa-teresa-golf-club-san-jose-5?osq=SANTA+TERESA+GOLF+CLUB,Santa Teresa Golf Club,(408) 225-2650,https://santateresagolf.com
LAW  TAT C,MANDARIN HOUSE OF LA JOLLA INC.,6765 LA JOLLA BLVD,,LA JOLLA,CA,92037,,,,
BRANCH OFFICE INC,BRANCH OFFICE,2320 TORRANCE BLVD,,TORRANCE,CA,90501,https://www.yelp.nl/biz/branch-office-torrance?osq=BRANCH+OFFICE,Branch Office,(310) 320-1440,not url
MARCIAL  MICHAELANGELO,EL TEXATE RESTAURANT,316 PICO BLVD,,SANTA MONICA,CA,90405,,,,
BRUNOS ITALIAN RESTAURANT INC,EL PATIO RESTAURANT,1750 W LA PALMA AVE,,ANAHEIM,CA,92801,https://www.yelp.nl/biz/el-patio-restaurant-and-dancing-anaheim?osq=EL+PATIO+RESTAURANT,El Patio Restaurant & Dancing,(714) 758-1649,not url
LEOLO,LEONARDOS,1735 W MANCHESTER AVE,,LOS ANGELES,CA,90047,https://www.yelp.nl/biz/leonardos-restaurant-los-angeles-2?osq=LEONARDOS,Leonardo's Restaurant,(323) 753-5242,not url
LAKESHORE RESORT  LLC,LAKESHORE RESORT,61953 HUNTINGTON LAKE RD,,LAKESHORE,CA,93634,https://www.yelp.nl/biz/lakeshore-resort-lakeshore?osq=LAKESHORE+RESORT,Lakeshore Resort,(559) 893-3193,https://lakeshoreresort.com
LAKEVIEW GARDEN,LAKEVIEW GARDEN,4703 LAKEVIEW CANYON RD,,WESTLAKE VILLAGE,CA,91361,https://www.yelp.nl/biz/lakeview-garden-restaurant-westlake-village?osq=LAKEVIEW+GARDEN,Lakeview Garden Restaurant,(818) 991-3850,https://lvgcr.com
LAL FAMILY LLC,SUNLIGHT INDIAN CUISINE,1775 MITCHELL RD,# A,CERES,CA,95307,,,,
